date_pulled,query,piece_name,category,era_or_year,materials_gemstones,asking_or_hammer_price,price_type,source_site,listing_url,notes
2026-08-04,David Webb earrings for sale 1stDibs price,David Webb Hammered Gold Doorknocker Earrings,earrings,,"18k yellow gold, hammered finish",15500,asking,1stdibs.com,https://www.1stdibs.com/jewelry/earrings/dangle-earrings/david-webb-hammered-gold-doorknocker-earrings/id-j_19558252,"Hallmarked Webb and 18k; measures 1 5/8"" x 1""; 42.3 grams"
2026-08-04,David Webb earrings for sale 1stDibs price,David Webb 18K Yellow Gold Hammered Doorknockers Large Oversized Hoop Earrings,earrings,,"18k yellow gold, hammered finish",30400,asking,1stdibs.com,https://www.1stdibs.com/jewelry/earrings/clip-on-earrings/david-webb-18k-yellow-gold-hammered-doorknockers-large-oversized-hoop-earrings/id-j_16463242,"52mm long; originally $38,000, currently 20% off at $30,400; no diamonds, signature hammered finish"
2026-08-04,David Webb earrings for sale 1stDibs price,David Webb 18k Yellow Gold Hammered Door Knocker Earrings,earrings,,"18k yellow gold, hammered finish",10320,asking,1stdibs.com,https://www.1stdibs.com/jewelry/earrings/drop-earrings/david-webb-18k-yellow-gold-hammered-door-knocker-earrings/id-j_25389122,"Originally $12,900, currently 20% off at $10,320; classic door knocker design"
2026-08-04,David Webb earrings for sale 1stDibs price,David Webb 18K Gold Hammered Shrimp-Style Earrings,earrings,1970s,"18k yellow gold, hammered finish",12800,asking,1stdibs.com,https://www.1stdibs.com/jewelry/earrings/clip-on-earrings/david-webb-18k-gold-hammered-shrimp-style-earrings/id-j_5947222,"Marked 'Webb 18K'; clip-on; 50.9 grams; measures 1 1/8"" L x 7/8"" W; wear consistent with age"
2026-08-04,David Webb earrings for sale 1stDibs price,David Webb Pearl & Rock Crystal Earrings,earrings,circa 1970,"platinum, 14k white gold, cultured pearls, faceted rock crystal, round-cut diamonds",35000,asking,1stdibs.com,https://www.1stdibs.com/jewelry/earrings/clip-on-earrings/david-webb-pearl-rock-crystal-earrings/id-j_25334962,"Signed Webb; clip-on; measures 1.25"" long; circa 1970"
2026-08-04,David Webb brooch for sale 1stDibs price,Gold Diamond Flower Brooch,brooch,20th century,"18k yellow gold, approx. 9 carat H/VS-SI round cut diamonds",28000,asking,1stdibs.com,https://www.1stdibs.com/jewelry/brooches/brooches/exquisite-david-webb-gold-diamond-flower-brooch/id-j_19680172,"Marked Webb and 18k. Measures 2 3/8"" x 1 7/8"". Weighs 24.1 grams. Wear consistent with age and use. Seller located in New York, NY."
2026-08-04,David Webb brooch for sale 1stDibs price,Lion Leo Brooch,brooch,1980s,"18k yellow gold, 900 platinum, 2.50 carat round brilliant cut diamonds, blue and green enamel",0,asking,1stdibs.com,https://www.1stdibs.com/creators/david-webb/fashion/brooches/,Vintage piece circa 1980s. Weighs 53.6 grams. Double clip. Comes with certificate of authenticity. Price not individually listed in search snippet.
2026-08-04,David Webb brooch for sale 1stDibs price,Detachable Diamond Brooch,brooch,,"platinum, 18k gold, 33 carats mixed cut diamonds",0,asking,1stdibs.com,https://www.1stdibs.com/creators/david-webb/jewelry/brooches/brooches/?page=2,David Webb signed detachable brooch. Individual price not listed in search snippet.
2026-08-04,David Webb brooch for sale 1stDibs price,Unicorn Brooch,brooch,,18k yellow gold,0,asking,1stdibs.com,https://www.1stdibs.com/creators/david-webb/jewelry/brooches/brooches/?page=2,Described as exquisitely detailed. Individual price not listed in search snippet.
2026-08-04,David Webb brooch for sale 1stDibs price,Platinum Domed Diamond Brooch,brooch,,"platinum, approx. 10 carats SI1/H round brilliant diamonds",0,asking,1stdibs.com,https://www.1stdibs.com/creators/david-webb/jewelry/brooches/brooches/?page=2,"Measures 1.5"" x 7/8"". Hallmarked Webb and Plat. Individual price not listed in search snippet."
2026-08-04,David Webb brooch for sale 1stDibs price,Leopard Brooch,brooch,"circa 1964, 1960s–1970s","18k gold, diamonds, enamel, emeralds",0,asking,1stdibs.com,https://www.1stdibs.com/creators/david-webb/jewelry/brooches/brooches/,Iconic animal brooch from the period most closely associated with Webb's menagerie designs. Individual price not listed in search snippet.
2026-08-04,David Webb brooch for sale 1stDibs price,"Animal Brooch (Enamel, Emerald Eyes, Diamonds)",brooch,1960s,"18k yellow gold, platinum, black and brown enamel, cabochon emerald eyes, round brilliant cut diamonds",0,asking,1stdibs.com,https://www.1stdibs.com/creators/david-webb/jewelry/brooches/,Signed by David Webb. Circa 1960s. Measures 2 x 4 inches. Individual price not listed in search snippet.
2026-08-04,David Webb brooch for sale 1stDibs price,"Ruby, Emerald, Sapphire & Diamond Earrings/Brooch Pair",brooch,1960s,"18k yellow gold, ruby, emerald, sapphire, diamonds, rope twist gold work",0,asking,1stdibs.com,https://www.1stdibs.com/creators/david-webb/jewelry/brooches/,"Convertible earrings/brooch pair. Signed WEBB, Stamped 18K. Individual price not listed in search snippet."
2026-08-04,David Webb zebra bracelet auction result price,David Webb Enamel and Diamond Zebra Bracelet,bracelet,1960s,"18k gold, platinum, black and white enamel, round-cut diamonds, ruby cabochon eyes",50000,hammer,sothebys.com,https://www.sothebys.com/en/articles/artful-elegance-a-guide-to-collecting-iconic-david-webb-jewelry,"Described as a Gold, Enamel, Ruby and Diamond Bracelet; sold for almost $50,000 in 2022 per Sotheby's editorial. Zebra bracelet is one of Webb's most recognizable designs and the company mascot motif."
2026-08-04,David Webb zebra bracelet auction result price,David Webb Enamel and Diamond Zebra Bracelet (Animal Kingdom),bracelet,1960s,"18k gold, platinum, black and white enamel, round-cut diamonds, two ruby cabochon eyes",0,hammer,liveauctioneers.com,https://www.liveauctioneers.com/price-result/david-webb-enamel-and-diamond-zebra-bracelet/,Iconic Zebra Bracelet from David Webb's Animal Kingdom Collection. Fits 7-inch wrist. Properly marked. Exact hammer price not publicly disclosed in search snippet.
2026-08-04,David Webb zebra bracelet auction result price,David Webb 18K YG Platinum Zebra Bracelet,bracelet,1960s,"18k yellow gold, platinum, black and white enamel, approx. 84 brilliant-cut diamonds (~4.00 ctw), two oval ruby cabochons (~1.0 ct)",0,hammer,liveauctioneers.com,https://www.liveauctioneers.com/price-result/david-webb-enamel-and-diamond-zebra-bracelet/,Head set with two oval ruby cabochons approx. 1.0 ct total and approx. 84 brilliant-cut diamonds (~4.00 ctw). Exact hammer price not disclosed in snippet.
2026-08-04,David Webb zebra bracelet auction result price,D.Webb 18K Gold Zebra Enamel Bracelet,bracelet,,"18k gold, black and white enamel; 83.4g, width 14mm, length 170mm",19000,asking,1stdibs.com,https://www.1stdibs.com/jewelry/bracelets/link-bracelets/dwebb-18k-gold-zebra-enamel-bracelet/id-j_23998952,"Reduced from $26,400 list price to $19,000. Seller located in Flushing, NY. Recognized Seller on 1stDibs since 2023."
2026-08-04,David Webb zebra bracelet auction result price,David Webb Zebra Enamel Ring,ring,20th century,"18k yellow gold, black and white zebra-pattern enamel",8750,hammer,fortunaauction.com,https://fortunaauction.com/david-webb-auction-results-selling-guide/,"Fortuna Auction Sale 1095, May 2023, Lot 2003. Described as a realistic benchmark for single-animal pieces at ring scale."
2026-08-04,David Webb zebra bracelet auction result price,David Webb Zebra Enamel Gold Ring,ring,20th century,"18k yellow gold, black and white zebra-pattern enamel; 21.4g; size 5.25",6000,asking,1stdibs.com,https://www.1stdibs.com/jewelry/rings/more-rings/david-webb-zebra-enamel-gold-ring/id-j_8399642,"Marked Webb 18k. Ring top measures 15mm x 20mm. Seller located in New York, NY."
2026-08-04,David Webb zebra bracelet auction result price,Designer David Webb Zebra Enamel and 18K Gold Pendant,other,20th century,"18k yellow gold, black and white zebra enamel",5500,asking,1stdibs.com,https://www.1stdibs.com/jewelry/necklaces/necklace-enhancers/designer-david-webb-zebra-enamel-18-karat-gold-pendant/id-j_6536842,"Reduced from $7,000 list price to $5,500. Seller located in Scottsdale, AZ."
2026-08-04,David Webb zebra bracelet auction result price,"David Webb Animal Kingdom Zebra Bracelet (Sotheby's benchmark, ~2022)",bracelet,circa 1963,"18k gold, platinum, enamel, ruby, diamonds",50000,hammer,sothebys.com,https://www.sothebys.com/en/brands/david-webb,"Sotheby's editorial notes the zebra bracelet sold for 'almost $50,000 in 2022.' The zebra became the David Webb company mascot; Diana Vreeland famously wore the design. The zebra motif first appeared in 1963."
2026-08-04,David Webb Christie's jewelry auction result,Diamond and Multi-Gem Earrings,earrings,,"diamonds, multiple gemstones",35000,hammer,rapaport.com,https://rapaport.com/news/christies-online-jewelry-auction-sells-out-2/,Sold at Christie's Jewels Online auction; realized more than four times its low estimate
2026-08-04,David Webb Christie's jewelry auction result,Gold Necklace,necklace,,gold,35000,hammer,rapaport.com,https://rapaport.com/news/christies-online-jewelry-auction-sells-out-2/,Sold at Christie's Jewels Online auction; realized more than four times its low estimate
2026-08-04,David Webb Christie's jewelry auction result,"Earrings with Jade, Black Enamel and Diamonds",earrings,,"18k yellow gold, platinum, black enamel, carved and pierced jade plaques, jade pear-shape cabochons, 2.75-3 ct diamonds",17500,estimate,jckonline.com,https://www.jckonline.com/editorial-article/christies-jewels-online-2024/,"Featured in Christie's Jewels Online March 2024; pre-sale estimate $15,000–$20,000; hammer price not confirmed"
2026-08-04,David Webb Christie's jewelry auction result,Diamond and Enamel Tiger Bracelet,bracelet,,"diamonds, enamel",27500,hammer,fortunaauction.com,https://fortunaauction.com/david-webb-auction-results-selling-guide/,"Sale 1057 (April 2021), lot 2111; Fortuna Auctions result"
2026-08-04,David Webb Christie's jewelry auction result,Gold Necklace,necklace,,gold,33750,hammer,fortunaauction.com,https://fortunaauction.com/david-webb-auction-results-selling-guide/,"Sale 1101 (September 2023), lot 2132; Fortuna Auctions result; pure goldwork, no stones"
2026-08-04,David Webb Christie's jewelry auction result,Zebra Enamel Ring,ring,,enamel,8750,hammer,fortunaauction.com,https://fortunaauction.com/david-webb-auction-results-selling-guide/,"Sale 1095 (May 2023), lot 2003; Fortuna Auctions result"
2026-08-04,David Webb Christie's jewelry auction result,Rock Crystal and Multi Stone Dangle Earrings,earrings,,"rock crystal, multiple stones",8750,hammer,fortunaauction.com,https://fortunaauction.com/david-webb-auction-results-selling-guide/,"Sale 1115 (March 2024), lot 2062; Fortuna Auctions result; described as vintage"
2026-08-04,David Webb Christie's jewelry auction result,Enamel and Diamond Bombe Bracelet,bracelet,,"enamel, diamonds",21875,hammer,fortunaauction.com,https://fortunaauction.com/david-webb-auction-results-selling-guide/,"Sale 1119 (May 2024), lot 2071; Fortuna Auctions result; enamel condition noted as key value driver"
2026-08-04,David Webb frog bracelet price,"Platinum & 18K Yellow Gold Green Enamel, Diamond and Ruby Frog Bracelet",bracelet,,"18k yellow gold, platinum, green enamel, diamonds, ruby cabochons",55200,asking,thebackvault.com,https://thebackvault.com/collections/david-webb/bracelet,Current dealer listing; signed David Webb
2026-08-04,David Webb frog bracelet price,"Gold, Platinum, Enamel, Ruby and Diamond Frog Bracelet",bracelet,circa 1960s,"18k yellow gold, platinum, green enamel, ruby cabochon eyes, diamonds",0,asking,sothebys.com,https://www.sothebys.com/en/buy/_david-webb-gold-Platinum-enamel-ruby-and-diamond-frog-bracelet-47ec,"Design as two facing frogs with ruby cabochon eyes, green enamel body, diamond lips; inner circumference 7.7 inches; price not publicly listed (Add to Bag); signed David Webb; authenticity guaranteed by Sotheby's"
2026-08-04,David Webb frog bracelet price,Vintage 1960s Double Headed Frog Bracelet,bracelet,circa 1960s,"18k yellow gold, platinum, blue enamel, 6 cabochon rubies, 64 round brilliant diamonds",75000,asking,1stdibs.com,https://www.1stdibs.com/jewelry/bracelets/link-bracelets/vintage-1960s-david-webb-double-headed-frog-bracelet/id-j_26050722,Signed David Webb; size 6.5 inches; blue enamel distinguishes this from the more common green enamel versions
2026-08-04,David Webb frog bracelet price,"Green Enamel, Diamond and Ruby Frog Bracelet",bracelet,,"18k yellow gold, platinum, green enamel, oval cabochon ruby eyes, ~0.60ct round diamonds",68000,asking,1stdibs.com,https://www.1stdibs.com/jewelry/bracelets/more-bracelets/david-webb-diamond-ruby-enamel-giraffe-bracelet/id-j_12250852,"Stylized frog with braided legs, polished spiral gold balls, 22 round diamonds, signed David Webb; inner circle 6 inches; approx. 67.3 dwts"
2026-08-04,David Webb frog bracelet price,Frog Bracelet (Discounted),bracelet,,"18k yellow gold, platinum, ruby, enamel",37050,asking,1stdibs.com,https://www.1stdibs.com/jewelry/bracelets/clamper-bracelets/david-webb-frog-bracelet/id-j_10699842/,"Currently discounted from $39,000 list price to $37,050; 20th Century American Modern category"
2026-08-04,David Webb frog bracelet price,18K Yellow Gold Diamond Emerald Repoussé Frog Cuff,bracelet,20th century,"18k yellow gold, diamonds, emerald cabochon eyes",42500,asking,1stdibs.com,https://www.1stdibs.com/jewelry/bracelets/cuff-bracelets/david-webb-18k-yellow-gold-diamond-emerald-repousse-frog-cuff/id-j_20257132,Repoussé technique; listed as 20th Century American Cuff Bracelet
2026-08-04,David Webb frog bracelet price,Emerald Frog Gold Cuff Bracelet,bracelet,20th century,"18k yellow gold, emerald cabochon eyes",35000,asking,1stdibs.com,https://www.1stdibs.com/jewelry/bracelets/cuff-bracelets/david-webb-emerald-frog-gold-cuff-bracelet/id-j_25971662,Marked Webb and 18k on interior; single hinge; fits approx. 7-inch wrist; 126.3 grams; wear consistent with age
2026-08-04,David Webb frog bracelet price,"Gold, Green Enamel, Ruby and Diamond 'Twin Frog' Bracelet",bracelet,,"18k yellow gold, green enamel, ruby, diamonds",45000,estimate,sothebys.com,,"Sotheby's March 7 2024 'From the Vault Exceptional Signed Jewels' auction; pre-sale estimate $35,000–$55,000; midpoint used as estimate value; part of a 220+ lot single-owner collection"
2026-08-04,David Webb frog bracelet price,"Enameled 18K Yellow Gold, Diamond and Ruby Frog Bracelet",bracelet,,"18k yellow gold, enamel, diamonds, ruby",37500,hammer,liveauctioneers.com,https://www.liveauctioneers.com/price-guide/david-webb/26030/,Sold at Rago Arts and Auction Center June 11 fine jewelry auction; result reported via LiveAuctioneers
2026-08-04,David Webb cross pendant price,Rock Crystal Maltese Style Cross Pendant Brooch,necklace,20th century,"18k yellow gold, platinum, checkerboard-cut rock crystal, round-cut diamonds",24960,asking,1stdibs.com,https://www.1stdibs.com/jewelry/necklaces/pendant-necklaces/david-webb-18k-yellow-gold-rock-crystal-maltese-style-cross-pendant-brooch/id-j_17680622,"Originally $31,200, currently 20% off. Convertible pendant/brooch, 2.5"" x 2.5"", double pin closure. Signed WEBB."
2026-08-04,David Webb cross pendant price,Rock Crystal Large Maltese Cross Scroll Pendant Brooch,necklace,,"platinum, 18k yellow gold, large faceted rock crystal, round-cut diamonds",34400,asking,thebackvault.com,https://thebackvault.com/products/david-webb-platinum-18k-yellow-gold-rock-crystal-large-maltese-cross-scroll-pendant-brooch-rr8104,"Oversized scroll Maltese cross, 2.75"" x 2.80"" (55mm wide), metal weight 76.5g. Signed WEBB. Condition: Excellent. Can be worn as pendant or brooch. Stock #RR8104."
2026-08-04,David Webb cross pendant price,Maltese Cross Diamond Brooch/Pendant,brooch,20th century,"18k yellow gold, platinum, ~12.00 ct diamond pavé, ~1.20 ct center round brilliant diamond",95000,asking,1stdibs.com,https://www.1stdibs.com/jewelry/brooches/brooches/david-webb-azurmalachite-ruby-diamond-maltese-cross-brooch/id-j_12438972,Hammered gold arms with bezel-set center diamond and pavé throughout. Signed WEBB.
2026-08-04,David Webb cross pendant price,Vintage Gold Maltese Cross Brooch/Pendant,brooch,vintage,"18k yellow gold, round-cut diamonds",21200,asking,1stdibs.com,https://www.1stdibs.com/jewelry/brooches/brooches/unique-david-webb-vintage-gold-maltese-crosee-brooch/id-j_23211142,"Versatile piece, can be worn as pendant or brooch. Signed by David Webb."
2026-08-04,David Webb cross pendant price,Important Vintage Maltese Cross White Enamel Pin/Pendant Brooch,brooch,vintage,"18k yellow gold, platinum, white enamel, diamonds",0,asking,1stdibs.com,https://www.1stdibs.com/jewelry/brooches/brooches/david-webb-important-vintage-maltese-crosee-white-enamel-pin-pendant-brooch/id-j_11775392/,"Large piece, 56mm x 56mm. Can be worn as pendant or brooch. Price not captured in search results; visit listing for current price."
2026-08-04,David Webb cross pendant price,Coral Maltese Cross Pendant/Brooch,necklace,,"coral, sapphires, diamonds (84), sugarloaf emerald center",0,asking,1stdibs.com,https://www.1stdibs.com/jewelry/brooches/brooches/david-webb-coral-maltese-cross-pendant/id-j_10736212/,4 coral sections with 4 sapphires and 84 diamonds surrounding sugarloaf emerald. Condition: Excellent. Price not captured in search results; visit listing for current price.
2026-08-04,David Webb cross pendant price,Hammered Gold Stylized Cross Pendant-Brooch with Diamond Star Plaque,necklace,,"hammered 18k gold, round and single-cut diamonds (pavé star plaque)",0,hammer,barnebys.com,https://www.barnebys.com/realized-prices/David_Webb.html?p=21,"Part of a necklace set; detachable cross pendant-brooch with detachable star-shaped diamond pavé center plaque; includes alternate plain gold star center. Chain ~134 dwts, pendant ~55 dwts. Signed WEBB. Hammer price not captured — visit Barnebys for result."
2026-08-04,David Webb cross pendant price,Vintage 1980s Diamond Rock Crystal Pendant,necklace,circa 1980s,"platinum, 18k white gold, carved rock crystal, diamonds",28000,asking,1stdibs.com,https://www.1stdibs.com/jewelry/more-jewelry-watches/more-jewelry/david-webb-vintage-1980s-diamond-rock-crystal-pendant/id-j_12862122,"2.0"" x 1.25"". Stamped WEBB. Chain not included. Non-cross but related rock crystal pendant for market context."
2026-08-04,David Webb ring for sale 1stDibs price,David Webb All Rings – General Listing (229 pieces),ring,20th century,"18k gold, platinum, diamonds, various gemstones",19852,asking,1stdibs.com,https://www.1stdibs.com/creators/david-webb/jewelry/rings/,"229 rings listed; price range $3,750–$2,200,000; average sale price $19,852"
2026-08-04,David Webb ring for sale 1stDibs price,David Webb Pearl Ring Collection,ring,,"pearl, diamonds, 18k gold",15845,asking,1stdibs.com,https://www.1stdibs.com/buy/david-webb-pearl-ring/,"43 listings; price range $3,500–$37,950; average $15,845. Notable pieces include pearl & black enamel with diamonds, and rock crystal/pearl/diamond in platinum & 18k white gold"
2026-08-04,David Webb ring for sale 1stDibs price,David Webb Emerald Ring Collection,ring,,"emerald, diamonds, black enamel, 18k yellow gold",16500,asking,1stdibs.com,https://www.1stdibs.com/buy/david-webb-emerald-ring/,"69 listings; price range $1,450–$2,200,000; average $16,500. Includes Tiger Ring with green emeralds, diamonds, and black enamel"
2026-08-04,David Webb ring for sale 1stDibs price,David Webb Amethyst Ring Collection,ring,,"amethyst, 18k gold",16250,asking,1stdibs.com,https://www.1stdibs.com/buy/david-webb-amethyst-ring/,"6 listings; price range $6,930–$65,000; average $16,250"
2026-08-04,David Webb ring for sale 1stDibs price,David Webb Ruby Ring Collection,ring,20th–21st century,"ruby, 18k gold, platinum",13630,asking,1stdibs.com,https://www.1stdibs.com/buy/david-webb-ruby-ring/,"64 listings; price range $2,200–$500,000; average $13,630. Includes cabochon and mixed cut rubies"
2026-08-04,David Webb ring for sale 1stDibs price,David Webb White Enamel Ring Collection,ring,20th–21st century,"white enamel, 18k gold, platinum, diamonds",14025,asking,1stdibs.com,https://www.1stdibs.com/buy/david-webb-white-enamel-ring/,"67 listings; price range $2,900–$47,025; average $14,025. Includes iconic 'Tire' Ring and bombe dome styles; 'Tire' ring accompanied by Certificate of Authenticity from David Webb"
2026-08-04,David Webb ring for sale 1stDibs price,David Webb Dome Ring Collection,ring,20th century,"18k gold, platinum, diamonds, enamel, lapis, ruby, emerald",21050,asking,1stdibs.com,https://www.1stdibs.com/creators/david-webb/jewelry/rings/dome-rings/,"30 listings; price range $5,760–$120,000; average $21,050. Includes carved ruby/emerald/diamond ring and lapis/emerald/diamond cocktail ring"
2026-08-04,David Webb ring for sale 1stDibs price,David Webb Cocktail Ring Collection,ring,20th–21st century,"18k gold, platinum, diamonds, enamel, various gemstones",20280,asking,1stdibs.com,https://www.1stdibs.com/creators/david-webb/jewelry/rings/cocktail-rings/,"164 listings; price range $3,750–$975,000; average $20,280. Pieces stamped 'Webb'; David Webb offers paid authentication service"
2026-08-04,David Webb brooch for sale 1stDibs price,Gold Diamond Flower Brooch,brooch,20th century,"18k yellow gold, approx. 9 carat H/VS-SI round cut diamonds",28000,asking,1stdibs.com,https://www.1stdibs.com/jewelry/brooches/brooches/exquisite-david-webb-gold-diamond-flower-brooch/id-j_19680172,"Measures 2 3/8"" x 1 7/8"", weighs 24.1 grams. Marked Webb and 18k. Wear consistent with age and use. Seller located in New York, NY."
2026-08-04,David Webb brooch for sale 1stDibs price,Lion Leo Brooch,brooch,circa 1980s,"18k yellow gold, 900 platinum, 2.50 carat round brilliant cut diamonds, blue and green enamel",0,asking,1stdibs.com,https://www.1stdibs.com/creators/david-webb/fashion/brooches/,Weighs 53.6 grams. Double clip. Comes with certificate of authenticity. Price not individually listed in search results; part of broader brooch category.
2026-08-04,David Webb brooch for sale 1stDibs price,Leopard Brooch,brooch,"circa 1964, 1960s–1970s","18k gold, diamonds, enamel, emeralds",0,asking,1stdibs.com,https://www.1stdibs.com/creators/david-webb/jewelry/brooches/brooches/,Black enamel patterned leopard. Iconic animal design from Webb's celebrated menagerie period. Price not individually listed in search results.
